id,name,type,skill_summary,lineups,avatar,portrait,skillEvidence,version,source,source_url
player-yixing,弈星,棋手,技能「棋道万象」：本回合战斗开始时，弈星随机复制1名敌方英雄。 秘技「谋而后定·秘技」：第4/8/12回合，获得1张秘技牌驭势。 秘技牌「驭势」：战斗开始时，将敌方场上所有英雄复制进你的手牌。 专属「神之一手」：开战时，随机从敌方等级最高的2名英雄中复制1名， 临时加入我方战场。,,https://assets.wanxiangqiwiki.com/assets/players/弈星_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/弈星_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-mingxiansheng,明先生,棋手,技能「先知卦象」：使用技能，从2种卦象中选择1个，卦象效果持续3个回合。 技能效果「卦象・丰」：每回合获得4次临时刷新，每回合能量-2，持续3个回合。 技能效果「卦象·节」：刷新费用+1，每回合能量+2，持续3个回合。 秘技「天降鸿运·秘技」：第6/10回合，获得1张秘技牌命运馈赠。 秘技牌「命运馈赠」：从2个馈赠中选择1个。 专属「飞龙在天」：强化明先生的卦象。 卦象·节：每回合额外获得4能量。 卦象·丰：每回合获得8次临时刷新。,,https://assets.wanxiangqiwiki.com/assets/players/明先生_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/明先生_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-zhaojun,昭君,棋手,技能「冰之心」：指定1名英雄，将其冻结。 战斗结束后，该英雄随机变为更高1阶的英雄，继承等级。 秘技「极寒冰冻·秘技」：第5/8回合，获得1张秘技牌深度冻结。 秘技牌「深度冻结」：从随机3个强化效果中选择1个。 专属「冰雪秘藏」：从3个增益效果中选择1个。 专属效果「寒潮之势」：战斗开始时，你等级最高的英雄获得1200点生命值、 120点物理和法术攻击力。 专属效果「不朽坚冰」：战斗开始时，你的全体英雄获得500点最大生命值、 60点物理和法术攻击力。 专属效果「雪暴时刻」：冻结的英雄，解冻后等级永久+20。,,https://assets.wanxiangqiwiki.com/assets/players/昭君_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/昭君_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-yuhuan,玉环,棋手,技能「霓裳曲」：每打出3张非觉醒英雄牌时，玉环将根据出牌类型，以不同的指法弹奏琵琶，并触发1次相应效果。 技能效果「轮指」：使用3张相同非觉醒英雄牌:使用轮指，下个指法触发2次。 技能效果「扫拂」：使用3张同品阶非觉醒英雄牌：使用扫拂，使场上等级最低的2名英雄获得等于棋手等级的等级。 技能效果「吟揉」：使用3张同阵营非觉醒英雄牌：使用吟揉，获得1张随机的转瞬英雄牌。 秘技「自成曲调」：累积弹奏6次琵琶，获得1张秘技牌惊鸿调，限2张。 秘技牌「惊鸿调」：使用记录的前6次的指法来弹奏琵琶，并触发对应的效果（还可获得2张）。 专属「余音绕梁」：获得3次惊鸿调演奏次数。,,https://assets.wanxiangqiwiki.com/assets/players/玉环_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/玉环_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-banshu,班叔,棋手,技能「神匠」：比赛开始时，获得2张便携式机关。 棋手等级达到2/3/4时，从热能陷阱、电磁弹簧、等离子屏障3种机关卡中随机获得1张。 技能效果「热能陷阱」：在指定位置构筑 1 个热能陷阱。敌方进入陷阱范围时触发，造成真实伤害并眩晕。 技能效果「电磁弹簧」：在指定位置构筑 1 个电磁弹簧。敌方踩中时触发，将其弹至敌方战场后排，触发 2 次后消失。 技能效果「等离子屏障」：在指定位置构筑 1 个等离子屏障。可在横向展开阻碍敌方行动。 秘技「构筑升级·秘技」：累积获得指定数量螺丝后，获得1张秘技牌构筑升级(至多10张) 触发热能陷阱获得3个螺丝。 触发电磁弹簧获得2个螺丝。 等离子屏障在被摧毁后获得5个螺丝 秘技牌「构筑升级」：指定场上1个机关升级其效果。 专属「成品方案」：3种机关强化方案中选择1个。 专属效果「热能陷阱强化」：陷阱会延时2秒爆炸且爆炸范围增加1格， 三级陷阱的冷却时间缩短至4秒。 专属效果「电磁弹簧强化」：弹簧被友军触发时，使友军获得50%生命值上限的磁力护盾， 护盾存在期间该单位造成的伤害提升50%。 专属效果「等离子屏障强化」：屏障血量+100%， 三级屏障会在战斗开始时为屏障左右1格的友军提供复生效果。,,https://assets.wanxiangqiwiki.com/assets/players/班叔_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/班叔_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-yaomei,瑶妹,棋手,技能「可爱小鹿」：游戏开始时，瑶召唤自己心爱的小鹿前来助阵， 小鹿每回合等级+2，如果上回合战斗胜利，等级额外+4。 秘技「超绝可爱小鹿·秘技」：每经过3个回合，获得1张秘技牌神奇小鹿。 秘技牌「神奇小鹿・嘲讽」：开战后小鹿会在敌人之间无视碰撞地移动，每3秒嘲讽1次周围1格敌人，等级+8。 秘技牌「神奇小鹿・重装」：小鹿可以穿戴装备，且立即穿戴1件极寒风暴，等级+10。 秘技牌「神奇小鹿・双生」：开战时，小鹿会在附近生成1个自身的复制体。如果本局获得过5次胜利，小鹿等级+12（当前胜利次数：0）。 秘技牌「神奇小鹿・共鸣」：小鹿等级翻倍。 秘技牌「神奇小鹿・奉献」：小鹿阵亡时，会将自身等级以×临时等级均分给你的英雄。 专属「巨型玩偶」：小鹿等级+30，并获得一件【小鹿的庇护】。 专属效果「小鹿的庇护」：唯一。穿戴者所受伤害的30%将转移到小鹿身上。,大河图腾流,https://assets.wanxiangqiwiki.com/assets/players/瑶妹_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/瑶妹_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-baige,白歌,棋手,技能「神来之笔」：每进行4次英雄合成，白歌获得1张即兴创作。 技能效果「即兴创作」：随机获得场上1名英雄的复制。 秘技「天生我才·秘技」：使用6张即兴创作，获得1张秘技牌灵感爆发。 秘技牌「灵感爆发」：释放3道剑气，斩击手牌中随机3张非觉醒英雄牌， 将每张牌斩为2张转瞬版复制。 专属「惊才绝艳」：获得一张奇才：指定1名英雄，获得4张该英雄牌。 专属效果「奇才」：指定1名英雄，获得4张该英雄牌。,,https://assets.wanxiangqiwiki.com/assets/players/白歌_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/白歌_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-jing,镜,棋手,技能「无穷镜像」：使用技能，获得1张镜像牌，每使用4次技能， 该技能能量消耗+1。 技能效果「镜像」：该卡牌会自动变为上一张打出的英雄牌 (不能复制其他打出的镜像牌)。 秘技「镜像之力·秘技」：使用4张镜像，获得1张秘技牌万镜。 秘技牌「万镜」：随机复制场上的4张英雄牌。 专属「镜花影」：商店里的英雄牌在购买后会留下1个镜像复制。（不计入秘技任务）,,https://assets.wanxiangqiwiki.com/assets/players/镜_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/镜_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-naonao,闹闹,棋手,技能「派对泡泡」：使用技能，从随机2个阵营中选择1个， 之后技能替换为：花费1点能量，获得1张该阵营的英雄牌。 秘技「快乐集结·秘技」：上阵6名技能所选阵营英雄，获得1张秘技牌朋友多多。 秘技牌「朋友多多」：随机获得4张技能所选阵营的英雄牌。 专属「狂欢时刻」：获得1张打成一片。 专属效果「打成一片」：天赋3选1（技能选择阵营相关的天赋）。,日落海整备流,https://assets.wanxiangqiwiki.com/assets/players/闹闹_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/闹闹_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-xiangxiang,香香,棋手,技能「究极弩炮」：战斗开始时，香香会使用武器攻击敌人。 香香初始攻击力为20，每拥有1名不低于10级的1-3阶英雄， 香香的攻击力+20。 秘技「枪炮艺术·秘技」：累积造成10/15/20/30点棋手伤害， 获得1张秘技牌武器改造。 秘技牌「武器改造」：香香攻击力+20%。进行1次武器改造方案选择。 专属「火力全开」：香香获得(己方英雄等级总合x0.5)%的攻击力提升。,日落海整备流|大河图腾流,https://assets.wanxiangqiwiki.com/assets/players/香香_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/香香_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
player-make,马可,棋手,技能「寻宝之旅」：马可每打出4张3阶及以下的英雄牌， 随机获得1张宝藏牌。 秘技「终极宝藏·秘技」：使用7张宝藏牌，获得1张秘技牌终极宝藏。 秘技牌「终极宝藏正是在下」：从随机3个终极宝藏中选择1个。 专属「瓜分宝藏」：从2种英雄强化效果中选择1个。 专属效果「阳光普照」：战斗开始时，你的全体英雄获得1%x 已打出宝藏牌数量的伤害提升。 专属效果「重点照顾」：战斗开始时，你的人数最多的同品阶英雄获得2%x 已打出宝藏牌数量的伤害提升。,,https://assets.wanxiangqiwiki.com/assets/players/马可_棋手头像.jpg,https://assets.wanxiangqiwiki.com/assets/players/马可_棋手立绘.jpg,官网事实 · 2026-07-13 棋手技能介绍,棋手资料 2026-07-13 至 2026-08-20（wiki chessplayerFacts）,wanxiangqiwiki.com chessplayerFacts,https://wanxiangqiwiki.com
