id,name,type,quality,faction,cost,buy_energy,sell_energy,skill_summary,original,awakening,attackStyle,attackDistance,lineups,priority,image,version,source,source_url
hero-5041,米莱狄,英雄牌,2,日落海,3,3,1,卡面：召唤单位获得 3临时等级。 整备：该临时等级及阿科米亚核心等级额外+3。 技能「机械仆从」：米莱狄在距离自己最远的敌人附近召唤1个机械仆从，继承自己100%法术攻击力。 仆从每次攻击造成50+30%法术攻击力的法术伤害，机械仆从到达最大数量后，再次施放技能，增加仆从15%攻击速度，持续5秒。,召唤单位获得 3临时等级。 整备：该临时等级及阿科米亚核心等级额外+3。,召唤单位获得 6临时等级。 整备：该临时等级及阿科米亚核心等级额外+3，触发2次。,远程,4,日落海整备流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/aebfc0d29a64f1a804115af14f2fb0e522daba056e575055e9c94ef390662127.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5041
hero-1351,项羽,英雄牌,2,大河流域,3,3,1,卡面：牺牲：所有图腾等级永久+3且本回合你的召唤物免疫控制。 技能「破釜沉舟」：被动：项羽在战斗开始时向前冲撞3格距离，击退沿途敌人并在结束时击飞前方敌人造成100+5%项羽最大生命值的物理伤害。 主动：项羽发出怒吼同时恢复自身150+5%最大生命值的生命值。,牺牲：所有图腾等级永久+3且本回合你的召唤物免疫控制。,牺牲：所有图腾等级永久+6且本回合你的召唤物免疫控制。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/5d9229838f43d207046947c6e55dba0482027a55d29b8ae0189a417b28416c1d.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1351
hero-1891,鬼谷子,英雄牌,2,大河流域,3,3,1,卡面：在场时，召唤先知图腾。 技能「万物有灵」：鬼谷子使用玄微子包裹随机1名友方英雄使其临时等级+5，持续8秒（不可叠加）。,在场时，召唤先知图腾。,在场时，召唤并强化先知图腾。,远程,2,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/73b38476873e1aed06323e67b9de2edc83064caf6c34ac2236181fe9b23a1d51.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1891
hero-1981,梦奇,英雄牌,2,无阵营,3,3,1,卡面：退场：获得1张 1阶英雄兑换券。 败阵：提升英雄兑换券的品阶。 技能「梦境萦绕」：梦奇使用泡泡包裹自身，恢复8%最大生命值；1秒后泡泡破碎，对周围敌人造成50+70%法术攻击力的法术伤害，并降低5点物理防御和法术防御，持续5秒。,退场：获得1张 1阶英雄兑换券。 败阵：提升英雄兑换券的品阶。,退场：获得2张 1阶英雄兑换券。 败阵：提升英雄兑换券的品阶。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/bee37da2510829e76a9775641b944e7d07a9fafff957494c2f65489bbcbb635f.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1981
hero-1211,芈月,英雄牌,2,逐鹿,3,3,1,卡面：每当你使用效果牌时，己方穿戴装备最多的1名【逐鹿】英雄等级+1。 技能「幻翼仆从」：芈月为等级最高的近战友军召唤1只暗影仆从协助战斗，持续10秒。仆从每次攻击造成80%芈月法术攻击力的法术伤害并为友军恢复80%芈月法术攻击力的生命值，同时窃取目标1点物理防御和法术防御转移给友军（最多30层，持续至回合结束）。,每当你使用效果牌时，己方穿戴装备最多的1名【逐鹿】英雄等级+1。,每当你使用效果牌时，己方穿戴装备最多的1名【逐鹿】英雄等级+2。,近战,2,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/fc0cbcc91a80570c7bab7c1aad2f8c5a1a659161c9fb1de1738e6c5ec6478886.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1211
hero-shenmengxi,沈梦溪,英雄牌,2,河洛,3,3,1,卡面：每对沈梦溪使用1张效果牌，本回合法力值上限-15。 技能「综合爆款」：沈梦溪向敌人密集处投掷1枚混合炸弹，造成100+100%法术攻击力的法术伤害。,每对沈梦溪使用1张效果牌，本回合法力值上限-15。,每对沈梦溪使用1张效果牌，本回合法力值上限-30。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/008433c0236ac064d6a090709119db9a8b56b18dca1d3692555859690754a999.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-shenmengxi
hero-dunshan,盾山,英雄牌,2,河洛,3,3,1,卡面：牺牲：获得1张古币。 技能「不动如山」：盾山架盾进入防御形态获得25%伤害减免，持续3秒。期间每秒对身前敌人造成50点法术伤害。,牺牲：获得1张古币。,牺牲：获得1张精致古币。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/49e4b580f7cc963e2e636e0f67a96e876cc377c310072c256299f03818d2e6c2.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-dunshan
hero-1281,曹操,英雄牌,2,三分之地,3,3,1,卡面：整备：随机触发1名【三分】英雄的登场效果。 技能「霸道枭雄」：曹操凝聚霸道之力立即恢复自身100+15%最大生命值，同时在5秒内提高20%基础攻击力。,整备：随机触发1名【三分】英雄的登场效果。,整备：随机触发2名【三分】英雄的登场效果。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/a1d89f6a6ae8c0728db04dcf97e57920ac7dfea5649969cbb632affdc80b666f.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1281
hero-yuji,虞姬,英雄牌,2,大河流域,3,3,1,卡面：开团：场上每有1个图腾，自身及随机2名不同【大河流域】英雄等级+1。 技能「阵前舞」：被动：虞姬在普攻时有30%的概率会追加1次攻击。 主动：虞姬冲向目标敌人对其造成120%物理攻击力的物理伤害，随后向后翻腾对目标敌人快速射出4支弩矢，每支弩矢造成50+80%物理攻击力的物理伤害。,开团：场上每有1个图腾，自身及随机2名不同【大河流域】英雄等级+1。,开团：场上每有1个图腾，自身及随机4名不同【大河流域】英雄等级+1。,远程,5,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/a5738c3f03db80a4d688f9e5731c3f688508a163782b32451815f14a54eb3eca.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-yuji
hero-1321,马可波罗,英雄牌,2,日落海,3,3,1,卡面：登场：自身及阿科米亚核心等级+2。 技能「华丽左轮」：马可波罗掏出华丽左轮朝当前方向连续射出8颗子弹，每颗子弹造成25+15%物理攻击力的物理伤害，通过技能击败敌人后，下1次技能额外增加8发子弹。,登场：自身及阿科米亚核心等级+2。,登场：自身及阿科米亚核心等级+4。,远程,4,,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2fc4cdb06a1ea8695ca65bc39fc7baef5b2bb162687fee4ebad4620d753462db.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1321
hero-1071,赵云,英雄牌,2,三分之地,3,3,1,卡面：登场：自身及随机2名其他英雄等级+1。 技能「破云之龙」：赵云快速刺出4次龙枪打击目标敌人，每次造成60+60%物理攻击力的物理伤害并恢复自身40点生命值。,登场：自身及随机2名其他英雄等级+1。,登场：自身及随机2名其他英雄等级+2。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/11d87a2fa092ba0db397b538cbd263d5b8bfe3b88102291bdfedd1256c0a0ed9.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1071
hero-1911,大乔,英雄牌,2,三分之地,3,3,1,卡面：你的英雄每触发2次登场效果，大乔的法力值上限永久-5。 技能「鲤跃之潮」：大乔唤出1道波浪前行，击飞并眩晕沿途敌人1秒，造成100+100%法术攻击力的法术伤害。,你的英雄每触发2次登场效果，大乔的法力值上限永久-5。,每当你的英雄触发登场效果，大乔的法力值上限永久-5。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/5edece0aac41e6aba1d09ce33c00bd84bf98486dedb773018bc1080aeb49416f.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1911
hero-gongsunli,公孙离,英雄牌,2,无阵营,3,3,1,卡面：夺取 开团：场上每有1名已觉醒英雄，攻击速度+15%。 技能「孤鹜断霞」：公孙离朝目标方向丢出纸伞，纸伞到达最远端悬停一段时间后收回。纸伞会对所有首次命中的敌人造成100%物理攻击力的物理伤害，并在悬停处对触碰到的敌人每秒造成100%物理攻击力的物理伤害且降低其40%移动速度。,夺取 开团：场上每有1名已觉醒英雄，攻击速度+15%。,夺取 开团：场上每有1名已觉醒英雄，攻击速度+30%。,远程,5,,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/65b664f1ee97c2fbcc7098a1745fb7b1b6960654890a49567527be155e563c17.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-gongsunli
hero-1961,百里守约,英雄牌,2,河洛,3,3,1,卡面：每当你拥有牺牲效果的英雄阵亡时，本回合百里守约的法力值上限-20。 技能「瞄准」：百里守约朝最远的敌人（英雄优先）狙击。子弹对首名命中敌人造成50+700%物理攻击力的物理伤害。,每当你拥有牺牲效果的英雄阵亡时，本回合百里守约的法力值上限-20。,每当你拥有牺牲效果的英雄阵亡时，本回合百里守约的法力值上限-40。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/c9086e277c32776d9b668720be4c8a1434ad2bebb00ab25e509eabbbf4ef94a1.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1961
hero-1081,墨子,英雄牌,2,逐鹿,3,3,1,卡面：友方单位护盾被击破时，该单位生命值上限永久+30。 技能「墨守成规」：墨子驾驶机关人展开高能屏障，对触碰到屏障的敌人每0.5秒造成30+50%法术攻击力的法术伤害，屏障最多持续2秒。,友方单位护盾被击破时，该单位生命值上限永久+30。,友方单位护盾被击破时，该单位生命值上限永久+60。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/b019a853b638ba9dd587672da0275289581e41c68eaa515751a5736ced39ad3c.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1081
hero-1951,百里玄策,英雄牌,2,河洛,3,3,1,卡面：闪现 整备：你的闪现英雄上回合每击败过1名敌方英雄，随机1名闪现英雄等级+1（击败次数： 0）。 技能「梦魇钩锁」：玄策舞动钩镰对目标敌人造成50+100%物理攻击力的物理伤害，而后将其甩向玄策身后，落地时造成50+100%物理攻击力的物理伤害并眩晕1秒。,闪现 整备：你的闪现英雄上回合每击败过1名敌方英雄，随机1名闪现英雄等级+1（击败次数： 0）。,闪现 整备：你的闪现英雄上回合每击败过1名敌方英雄，随机1名闪现英雄等级+2（击败次数： 0）。,近战,2,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/355271399ebef00d4a64c1041ae3aa86947542a247e95c903dc3c1aa6a654ff4.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1951
hero-1051,廉颇,英雄牌,2,逐鹿,3,3,1,卡面：廉颇释放技能时，你的其他英雄获得 5点护盾值。每次使用战术牌会提升该护盾值。 技能「勇士之魂」：廉颇用臂甲砸向目标敌人，获得持续4秒的100点护盾，造成50+80%物理攻击力的物理伤害。,廉颇释放技能时，你的其他英雄获得 5点护盾值。每次使用战术牌会提升该护盾值。,廉颇释放技能时，你的其他英雄获得 10点护盾值。每次使用战术牌会提升该护盾值。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/87bf8e4045dac337e1476c77bf2c7845cbfc671efcbea4e6f8cb76e39178f5ea.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1051
hero-5271,蒙恬,英雄牌,2,逐鹿,3,3,1,卡面：牺牲：召唤2名与自身等级相同的玄雍士兵。 技能「玄雍众将」：蒙恬召唤出1名玄雍士兵列阵作战（持续20秒，至多2名）。每名士兵会分担蒙恬5%受到的伤害。,牺牲：召唤2名与自身等级相同的玄雍士兵。,牺牲：召唤4名与自身等级相同的玄雍士兵。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/7a9bc2fc7fd7b59e8c6bef613b404dd3e87051a5ea2d2fac503149fc1f5bd876.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5271
hero-1841,蔡文姬,英雄牌,2,三分之地,3,3,1,卡面：每当你使用【三分】英雄牌时，等级最低的其他3名【三分】英雄等级+1。 技能「思无邪」：被动：蔡文姬施放琴音每秒为自身周围1格的友军恢复30点生命值。,每当你使用【三分】英雄牌时，等级最低的其他3名【三分】英雄等级+1。,每当你使用【三分】英雄牌时，等级最低的其他3名【三分】英雄等级+2。,远程,2,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/cf7dc851bd8a06f58814f2173ab1d2fc49340e0a7124ac3c7a4dc869f2681e57.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1841
hero-yunzhongjun,云中君,英雄牌,3,大河流域,3,3,1,卡面：闪现 开团：你的英雄每穿戴1件装备，该英雄等级永久+1。 技能「若英·华彩」：云中君展翅舞蹈向周围1格射出羽箭，对命中的敌人造成50+80%物理攻击力的物理伤害，并施加2层撕裂效果。 撕裂：每秒造成目标敌人当前生命值2%的物理伤害，持续5秒，最多叠加5层。,闪现 开团：你的英雄每穿戴1件装备，该英雄等级永久+1。,闪现 开团：你的英雄每穿戴1件装备，该英雄等级永久+2。,近战,1,,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/d9736e1cac52ca596c0c6715f9daf5f6b35447b5e668dd5ff47dccd829e764d9.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-yunzhongjun
hero-5641,姬小满,英雄牌,3,日落海,3,3,1,卡面：每当你出售4名场上英雄后，获得1次临时刷新。 技能「强攻代守」：姬小满飞踢敌人造成150+100%物理攻击力的物理伤害，并将其向敌方英雄密集处击退，撞到敌人时停止。,每当你出售4名场上英雄后，获得1次临时刷新。,每当你出售2名场上英雄后，获得1次临时刷新。,近战,1,,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/92e9b0d40d1dfd15facb44c686a4137a74d172ea62043acf4316fd0ce0e0802f.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5641
hero-1771,苍,英雄牌,3,无阵营,3,3,1,卡面：你的召唤单位阵亡时，会对周围敌人造成 25点物理伤害。每次召唤还会额外提升该伤害。 技能「领袖姿态」：被动：狼魂继承苍的攻击速度，狼魂每次攻击会为苍提供2%的物理攻击力，上限30%。 主动：苍召唤1只狼魂（上限3只）向目标敌人位置冲锋，造成50+120%物理攻击力的物理伤害。攻击替换为二连普攻，第一道子弹造成60%物理攻击力的物理伤害，第二道子弹造成80%物理攻击力的物理伤害，状态持续8秒，期间不恢复法力值，假如技能期间狼魂全部阵亡，法力值开始恢复。,你的召唤单位阵亡时，会对周围敌人造成 25点物理伤害。每次召唤还会额外提升该伤害。,你的召唤单位阵亡时，会对周围敌人造成 50点物理伤害。每次召唤还会额外提升该伤害。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/6cbf8339ed29e10f9161439979c0a20e29886cf8b04470ad1e43036b13250cfd.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1771
hero-1931,铠,英雄牌,3,河洛,3,3,1,卡面：复生 牺牲：你的【河洛】英雄获得5临时等级。 技能「不灭魔躯」：铠使用魔铠武装自身，获得15点伤害减免（减免后不会低于5点）。,复生 牺牲：你的【河洛】英雄获得5临时等级。,完美复生 牺牲：你的【河洛】英雄获得10临时等级。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/86915a3c3e04bf4b60edcd8493e1e696bb49d4134dbe5a04e214968e131acc58.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1931
hero-1201,白起,英雄牌,3,逐鹿,3,3,1,卡面：每回合首次使用效果牌时，获得1张援护战术。 技能「生命回响」：白起怒吼，立即恢复10%最大生命值，并嘲讽周围1格敌人，持续1秒。,每回合首次使用效果牌时，获得1张援护战术。,每回合首次使用效果牌时，获得1张高阶援护战术。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/aae3b345b2af505b762ca5d770907925cce5d6bccea4a41b43289e5ef018d719.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1201
hero-5011,明世隐,英雄牌,3,无阵营,3,3,1,卡面：距离最近的英雄，临时等级中的 2级可转化为永久等级。 登场：可转化的等级+2。 技能「泰卦·长生」：被动：明世隐在备战阶段以法器连接1名最近的友方英雄。 主动：明世隐为自身和连接的英雄恢复100+60%法术攻击力的生命值。,距离最近的英雄，临时等级中的 2级可转化为永久等级。 登场：可转化的等级+2。,距离最近的英雄，临时等级中的 4级可转化为永久等级。 登场：可转化的等级+4。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/fb3cf7b768149dcd3675c4964fe3e926dd26ab258e9717958c02077671ed9d44.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5011
hero-1161,阿轲,英雄牌,3,无阵营,3,3,1,卡面：闪现 登场：自身及随机1名英雄等级+1，棋手生命值每降低10点，重复1次。 技能「弧光」：阿轲挥动双刺发动2次攻击，每次造成30+100%物理攻击力的物理伤害。,闪现 登场：自身及随机1名英雄等级+1，棋手生命值每降低10点，重复1次。,闪现 登场：自身及随机1名英雄等级+2，棋手生命值每降低10点，重复1次。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/1cb420dd675637ae83c671b7a9b045911dc55817f6258900f0009a2c1bbb3aec.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1161
hero-5181,马超,英雄牌,3,三分之地,3,3,1,卡面：己方施加控制效果时，马超获得15点法力值及5%暴击率。 技能「魔影突袭」：被动：马超靠近冷晖枪时会拾取回收，同时恢复自身100+75%物理攻击力的生命值，并提升5点物理攻击力。 主动：马超立即恢复自身100点生命值，快速突袭至3格内最远的敌人身边，对其造成50+100%物理攻击力的物理伤害并留下1把冷晖枪。,己方施加控制效果时，马超获得15点法力值及5%暴击率。,己方施加控制效果时，马超获得30点法力值及10%暴击率。,近战,1,常小娥四人队,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/4e8d42a3b963e065bffcd8f0a1d013ba9149f8b8ef33d369b2393f057c941148.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5181
hero-5021,裴擒虎,英雄牌,3,无阵营,3,3,1,卡面：闪现 整备：随机获得1名其他英雄等级数一半的临时等级，不可叠加。 技能「虎啸生风」：裴擒虎化身猛虎，提升自身20点物理攻击力以及5点物理和法术防御。 若处于虎形态，则对当前目标敌人发起猛击造成120%物理攻击力的物理伤害。,闪现 整备：随机获得1名其他英雄等级数一半的临时等级，不可叠加。,闪现 整备：随机获得1名其他英雄等级数的临时等级，不可叠加。,近战,1,常小娥四人队,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/15d64ba80b77131eb8ec79320e9a903410bf25f900c1b2fbe741232ca5c03eb2.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5021
hero-1391,老夫子,英雄牌,3,逐鹿,3,3,1,卡面：每回合首次合成时，获得1张招募战术。 技能「举一反三」：老夫子爆发气场，获得30%伤害减免，持续3秒。,每回合首次合成时，获得1张招募战术。,每回合首次合成时，获得1张高阶招募战术。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/aa76bb3ee31d9742f10000a7d159bc5b08fb9aeaf09a67282fe93ffbaf9008b0.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1391
hero-5231,西施,英雄牌,3,逐鹿,3,3,1,卡面：整备：获得1张推演战术。 技能「幻纱之灵」：西施随机向1个敌人所在位置释放持续3秒的能量球造成50+100%法术攻击力的法术伤害，3秒后能量球爆炸对这些单位造成100+100%法术攻击力的法术伤害。,整备：获得1张推演战术。,整备：获得1张高阶推演战术。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/925db0046ef33fc8842083660138851d4adbac2fc5b0c6672a67da1069980ec7.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5231
hero-1141,刘禅,英雄牌,3,三分之地,3,3,1,卡面：你的英雄释放技能时，该英雄获得2临时等级。 技能「机关魔爪」：刘禅操作机关魔爪对当前目标敌人造成50+100%物理攻击力的物理伤害并眩晕1秒，自身获得100点护盾，持续4秒。,你的英雄释放技能时，该英雄获得2临时等级。,你的英雄释放技能时，该英雄获得4临时等级。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/b73fe6d119329a1cd38645ca0539858c46672f63a1aea4a3933b8e883966e47a.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1141
